,BM,OU,EB,JN,NIG,VG,BMJN,BMNIG,BMVG
1686-56-2,0,0,0,1,0,9.96E-137,6.58E-76,0,8.90E-195
1686-61-9,0,0,0,1,3.51E-114,1.38E-41,4.33E-15,2.17E-60,4.89E-181
1686-62-0,0,0,0,8.69E-32,1,3.65E-174,0,0,1.64E-169
1686-63-1,0,0,0,4.70E-49,2.34E-246,4.89E-129,1,0,1.04E-219
1686-67-5,0,0,0,1,1.49E-145,3.17E-47,2.60E-23,0,1.80E-55
16980-85-1,0,0,0,1,0,1.09E-87,2.65E-24,0,0
16982-00-6,0,0,0,5.12E-24,0,9.26E-122,1,0,1.49E-62
17066-67-0,4.23E-249,8.70E-251,0,2.34E-137,2.24E-70,1.12E-207,2.14E-106,8.25E-71,1
1708-82-3,0,0,0,1,0,5.12E-137,1.08E-37,0,1.18E-166
17334-55-3,0,0,0,8.91E-07,1.54E-51,6.68E-94,0.999999109,0,1.17E-210
17351-34-7,0,0,0,1,3.10E-299,8.60E-223,1.30E-83,0,0
17429-38-8,0,0,0,5.30E-48,1.14E-207,2.52E-95,1,2.88E-138,5.23E-138
17603-76-8,0,0,0,1,0,4.12E-89,0,0,0
17627-30-4,0,0,0,1,0,3.56E-125,3.37E-116,0,3.49E-215
17627-43-9,0,0,0,2.01E-56,0,9.09E-122,1,0,2.52E-108
17627-44-0,0,0,0,1,5.74E-32,2.76E-91,6.17E-45,7.69E-94,2.56E-182
17643-36-6,0,0,0,2.44E-32,1,1.51E-81,3.99E-21,0,3.77E-166
17699-05-7,0,0,0,1.43E-26,0,4.38E-82,1,0,6.52E-266
17699-14-8,3.51E-292,3.80E-292,1.29E-292,7.71E-30,7.83E-211,0.999994946,7.38E-08,2.40E-167,4.98E-06
17699-16-0,0,0,0,1,0,1.88E-80,1.95E-43,1.04E-165,4.85E-103
1786-15-8,0,0,0,3.14E-18,1,2.80E-162,7.03E-20,0,1.18E-258
17904-27-7,0,0,0,7.81E-30,1.01E-36,8.99E-80,1,0,8.19E-64
17974-51-5,0,0,0,6.36E-78,0,1,6.99E-27,0,6.93E-201
17990-16-8,0,0,0,1,3.81E-250,4.94E-59,0,0,1.98E-292
18172-67-3,0,0,0,0.989113292,0,1.73E-145,0.010886708,0,8.07E-255
1820-09-3,0,0,0,1,2.33E-115,2.86E-131,2.66E-13,1.70E-183,5.70E-100
18252-44-3,0,0,0,1,2.75E-128,7.23E-85,7.14E-82,3.35E-131,1.31E-125
18319-35-2,0,0,0,1,2.52E-24,3.35E-132,0,0,1.49E-25
18344-37-1,0,0,0,1,0,4.06E-158,1.35E-38,1.66E-231,1.31E-138
18368-95-1,0,0,0,1,7.44E-308,2.68E-128,3.66E-110,0,0
18409-17-1,0,0,0,0,0,2.10E-106,1,7.67E-64,2.12E-97
18431-82-8,0,0,0,1,0,2.30E-132,6.21E-77,0,3.37E-94
18435-45-5,0,0,0,2.08E-85,0,7.54E-110,1,0,5.12E-127
1845-30-3,0,0,0,1,0,5.92E-168,2.15E-43,0,2.28E-302
18479-68-0,0,0,0,1,0,3.61E-169,9.14E-29,0,2.98E-248
1862-61-9,0,0,0,1.80E-84,0,8.89E-81,1,0,1.24E-113
18679-48-6,0,0,0,1.90E-06,0,4.27E-68,0.999998099,0,0.00E+00
18794-84-8,0,0,0,6.89E-85,1.63E-186,1,1.95E-72,4.54E-233,7.07E-140
18829-56-6,0,0,0,1.38E-62,3.14E-272,1.45563984187798e-314,1,7.26E-60,1.88E-143
18835-32-0,0,0,0,2.26E-20,0,6.37E-97,1,0,4.75E-243
